127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001869
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/js/jquery.js, HTTP/1.1, 200, 0.001678
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000660
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/js/share.js, HTTP/1.1, 200, 0.000821
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/js/web2py.js, HTTP/1.1, 200, 0.000173
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000373
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000390
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/images/background.jpg, HTTP/1.1, 200, 0.000774
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/images/facebook.png, HTTP/1.1, 200, 0.000363
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/images/twitter.png, HTTP/1.1, 200, 0.000743
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/images/gplus-32.png, HTTP/1.1, 200, 0.000640
127.0.0.1, 2016-03-03 14:51:24, GET, /IntellegentPlatformMaster/static/images/favicon.ico, HTTP/1.1, 200, 0.000789
127.0.0.1, 2016-03-03 14:51:42, GET, /admin/default/index, HTTP/1.1, 303, 0.002709
127.0.0.1, 2016-03-03 14:51:42, GET, /admin/default/site, HTTP/1.1, 200, 0.045911
127.0.0.1, 2016-03-03 14:51:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000213
